C131266;EMP12010;RE10109;IT1010901;5000000130;EMP12010;2003-01-19;C131266;RE10109;CA103607;Card;Free;10;IT1010901;4;3;;2;12;1,71428568;24;10,28571432;3,42857136;20,57142864;0
C140715;EMP14416;RE10515;IT1051503;5000000182;EMP14416;2005-01-19;C140715;RE10515;CA101162;Card;Free;10;IT1051503;5;3;;2;14;1,99999996;28;12,00000004;3,99999992;24,00000008;0
C102535;EMP14320;RE10419;IT1041904;5000000196;EMP14320;2005-01-19;C102535;RE10419;CA109275;Card;Free;10;IT1041904;2;2;;2;14;1,99999996;28;12,00000004;3,99999992;24,00000008;0
C132365;EMP14070;RE10169;IT1016904;5000000410;EMP14070;2010-01-19;C132365;RE10169;CA100954;Card;Free;10;IT1016904;1;5;;2;12;1,71428568;24;10,28571432;3,42857136;20,57142864;0
C188819;EMP12010;RE10109;IT1010903;5000000601;EMP12010;2015-01-19;C188819;RE10109;CA102319;Card;Free;10;IT1010903;2;5;;2;20;2,8571428;40;17,1428572;5,7142856;34,2857144;0
C105580;EMP14058;RE10157;IT1015703;5000000646;EMP14058;2016-01-19;C105580;RE10157;CA105783;Card;Free;10;IT1015703;1;2;;2;12;1,71428568;24;10,28571432;3,42857136;20,57142864;0
C140634;EMP14151;RE10250;IT1025005;5000000934;EMP14151;2022-01-19;C140634;RE10250;CA106624;Card;Free;10;IT1025005;1;4;;2;14;1,99999996;28;12,00000004;3,99999992;24,00000008;0
C152236;EMP13046;RE10145;IT1014504;5000001196;EMP13046;2028-01-19;C152236;RE10145;CA109459;Card;Free;10;IT1014504;2;1;;2;5;0,7142857;10;4,2857143;1,4285714;8,5714286;0
C198501;EMP13070;RE10169;IT1016905;5000001513;EMP13070;2005-02-19;C198501;RE10169;CA109312;Card;Free;10;IT1016905;2;2;;2;5;0,7142857;10;4,2857143;1,4285714;8,5714286;0
C172118;EMP13010;RE10109;IT1010903;5000001555;EMP13010;2005-02-19;C172118;RE10109;CA102517;Card;Free;10;IT1010903;5;5;;2;20;2,8571428;40;17,1428572;5,7142856;34,2857144;0
C135954;EMP11328;RE10427;IT1042702;5000001561;EMP11328;2006-02-19;C135954;RE10427;CA101925;Card;Free;10;IT1042702;4;3;;2;20;2,8571428;40;17,1428572;5,7142856;34,2857144;0
C153205;EMP11046;RE10145;IT1014503;5000001909;EMP11046;2013-02-19;C153205;RE10145;CA105345;Card;Free;10;IT1014503;3;2;;2;6;0,85714284;12;5,14285716;1,71428568;10,28571432;0
C139154;EMP13376;RE10475;IT1047503;5000002242;EMP13376;2021-02-19;C139154;RE10475;CA107985;Card;Free;10;IT1047503;2;5;;2;20;2,8571428;40;17,1428572;5,7142856;34,2857144;0
C170794;EMP12341;RE10440;IT1044002;5000002333;EMP12341;2023-02-19;C170794;RE10440;CA103132;Card;Free;10;IT1044002;3;3;;2;12;1,71428568;24;10,28571432;3,42857136;20,57142864;0
